ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-37-4141-01	-416.73	437.08	20.35
TCGA-37-5819-01	-667.93	-31.24	-699.17
TCGA-37-A5EL-01	-1766.44	-446.87	-2213.31
TCGA-37-A5EM-01	689.3	949.82	1639.11
TCGA-37-A5EN-01	-1041.61	-122.62	-1164.23
TCGA-39-5011-01	-149.24	1986.79	1837.54
TCGA-39-5016-01	-936.8	980.11	43.31
TCGA-39-5019-01	-74.73	492.87	418.14
TCGA-39-5021-01	-215.61	643.45	427.84
TCGA-39-5022-01	793.96	2160.62	2954.58
TCGA-39-5024-01	-1120.63	324.13	-796.5
TCGA-39-5027-01	-1904.52	-949.53	-2854.04
TCGA-39-5028-01	248.97	785.03	1034
TCGA-39-5029-01	-283.95	736.42	452.47
TCGA-39-5030-01	980.8	2258.76	3239.56
TCGA-39-5031-01	-10.68	635.53	624.85
TCGA-39-5034-01	360.76	319.33	680.1
TCGA-39-5035-01	-252.37	1314.96	1062.59
TCGA-39-5036-01	-1817.39	-140.12	-1957.51
TCGA-39-5037-01	-2209.56	-991.7	-3201.26
TCGA-39-5039-01	424.98	484.51	909.49
TCGA-39-5040-01	-864.34	-280.47	-1144.82
TCGA-43-2576-01	828.86	1458.09	2286.95
TCGA-43-2578-01	-586.14	97.29	-488.85
TCGA-43-2581-01	716.39	1730.12	2446.51
TCGA-43-3394-01	-628.47	-327.66	-956.12
TCGA-43-3920-01	579.81	749.64	1329.45
TCGA-43-5668-01	169.93	1698.37	1868.29
TCGA-43-5670-01	-1327.64	-856.23	-2183.87
TCGA-43-6143-01	-347.4	-488.4	-835.79
TCGA-43-6647-01	1335.43	1303.22	2638.65
TCGA-43-6770-01	-20.31	0.76	-19.55
TCGA-43-6771-01	109.02	545.55	654.58
TCGA-43-6773-01	1145.2	1947.08	3092.28
TCGA-43-7656-01	58.45	1281.76	1340.21
TCGA-43-7657-01	-260.02	-662.25	-922.26
TCGA-43-7658-01	-1384.07	487.19	-896.88
TCGA-43-8115-01	1308.23	1514.12	2822.35
TCGA-43-8116-01	-661.26	445.94	-215.32
TCGA-43-8118-01	-112.55	675.11	562.56
TCGA-43-A474-01	-736.63	-1100.6	-1837.24
TCGA-43-A475-01	-49.85	2055.85	2006.01
TCGA-43-A56U-01	247.62	2186	2433.62
TCGA-43-A56V-01	-863.01	-181.9	-1044.91
TCGA-46-3765-01	-257.17	471.53	214.36
TCGA-46-3766-01	1760.23	2064.49	3824.72
TCGA-46-3767-01	1478.16	1486.76	2964.92
TCGA-46-3768-01	-777.8	-102.51	-880.31
TCGA-46-3769-01	216.97	1195.48	1412.45
TCGA-46-6025-01	-733.42	-236.55	-969.97
TCGA-46-6026-01	-1573.05	-691.45	-2264.5
TCGA-51-4079-01	-309.01	379.82	70.81
TCGA-51-4080-01	-1235.57	-528.72	-1764.29
TCGA-51-4081-01	-198.56	-849.48	-1048.04
TCGA-51-6867-01	-439.33	90.09	-349.24
TCGA-52-7622-01	92.14	1285.55	1377.69
TCGA-52-7809-01	-890.8	-397.97	-1288.78
TCGA-52-7810-01	-844.19	-554.38	-1398.56
TCGA-52-7811-01	-72.15	522.69	450.53
TCGA-52-7812-01	-630.33	1180.65	550.33
TCGA-56-1622-01	-890.47	-762.91	-1653.37
TCGA-56-5897-01	1284.99	1489.38	2774.37
TCGA-56-5898-01	-70.65	431.28	360.63
TCGA-56-6545-01	1336.86	1341	2677.86
TCGA-56-6546-01	159.91	1428.92	1588.84
TCGA-56-7221-01	-1418.44	-643.44	-2061.88
TCGA-56-7222-01	-1343.81	-432.98	-1776.8
TCGA-56-7223-01	-1341.26	-1651.61	-2992.86
TCGA-56-7579-01	-492.69	-5.69	-498.38
TCGA-56-7580-01	-754.08	-137.84	-891.92
TCGA-56-7582-01	-331.24	219.87	-111.37
TCGA-56-7730-01	-1874.22	-1161.77	-3035.98
TCGA-56-7731-01	535.49	1123.57	1659.05
TCGA-56-7822-01	-558.24	188.45	-369.78
TCGA-56-7823-01	-1247.3	-401.86	-1649.15
TCGA-56-8082-01	-1159.79	-573.82	-1733.61
TCGA-56-8083-01	-897.71	-1336.82	-2234.53
TCGA-56-8201-01	1053.73	2188.86	3242.59
TCGA-56-8304-01	-1281.98	234.79	-1047.19
TCGA-56-8305-01	-448.26	-295.8	-744.06
TCGA-56-8307-01	-773.9	924.18	150.28
TCGA-56-8308-01	-207.84	227.15	19.31
TCGA-56-8309-01	633.81	2326	2959.82
TCGA-56-8503-01	1283.23	1432.3	2715.53
TCGA-56-8504-01	-207.06	483.67	276.61
TCGA-56-8622-01	108.86	263.79	372.64
TCGA-56-8623-01	1024.42	2536.5	3560.92
TCGA-56-8624-01	5.7	205.13	210.83
TCGA-56-8625-01	1259.44	2168.04	3427.48
TCGA-56-8626-01	-270.91	158.49	-112.42
TCGA-56-8628-01	571.12	1273.93	1845.04
TCGA-56-8629-01	-751.64	-108.78	-860.41
TCGA-56-A49D-01	-510.88	1039.8	528.91
TCGA-56-A4BW-01	-256.37	317.91	61.54
TCGA-56-A4BX-01	-1994.46	-1330.52	-3324.97
TCGA-56-A4BY-01	-796.31	-189.3	-985.61
TCGA-56-A4ZJ-01	1026.31	1345.46	2371.77
TCGA-56-A4ZK-01	-363.46	942.88	579.42
TCGA-56-A5DR-01	-369.43	122.63	-246.8
TCGA-56-A5DS-01	-527.82	637.73	109.91
TCGA-56-A62T-01	-311.02	107.24	-203.78
TCGA-58-8386-01	236.61	1044.2	1280.81
TCGA-58-8387-01	-775.17	1230.98	455.81
